SubOrgID	Naam	OrgID	ChangeDate	Centrum	Gebruiker
789	Antennepost CAW	1086	2010-02-02 09:55:09	HAV	HAVWVE
790	Scholen Wemmel	748	2010-02-02 10:00:11	HAV	HAVWVE
791	Scholen Linkebeek	748	2010-02-02 10:01:58	HAV	HAVWVE
792	Scholen Wezembeek-Oppem	748	2010-02-02 10:02:09	HAV	HAVWVE
793	Scholen Kraainem	748	2010-02-02 10:02:18	HAV	HAVWVE
794	Scholen Drogenbos	748	2010-02-02 10:02:28	HAV	HAVWVE
795	GH Wemmel	833	2010-02-02 10:12:02	HAV	HAVWVE
796	Beheerscomité	833	2010-02-02 10:16:14	HAV	HAVWVE
797	Stuurgroep	833	2010-02-02 10:16:21	HAV	HAVWVE
798	ROAD	954	2010-02-03 14:11:05	LAR	LARIHI
799	DOK	1277	2010-02-03 14:36:14	LAR	LARIHI
800	Kerngroep	523	2010-02-03 14:40:36	LAR	LARIHI
801	Stuurgroep	523	2010-02-03 14:43:34	LAR	LARIHI
803	Programmacommissie arbeid	371	2010-02-09 14:23:53	VAD	VADMCL
804	Shared HR Servies - Sociale Dienst	1244	2010-02-09 15:17:39	VAD	VADMCL
805	Werknemerswelzijn	1293	2010-02-09 15:37:35	VAD	VADMCL
806	Delta	1294	2010-02-09 15:46:16	VAD	VADMCL
807	Human Resources	1295	2010-02-09 16:09:13	VAD	VADMCL
808	Modulair vormingsaanbod arbeid	371	2010-02-09 16:13:54	VAD	VADMCL
809	Dienst Psycho-sociale aspecten	1302	2010-02-11 13:43:46	VAD	VADMCL
810	Dienst Arbeidsgeneeskunde	1302	2010-02-11 14:32:22	VAD	VADMCL
811	Nieuwsdienst - researchafdeling	1303	2010-02-11 15:16:05	VAD	VADMCL
812	Interne Dienst Preventie en Bescherming	1304	2010-02-11 15:23:24	VAD	VADMCL
813	Arbeidsrecht - Isabel PLETS	1306	2010-02-11 16:02:31	VAD	VADMCL
814	Internal Services	1308	2010-02-11 18:24:37	VAD	VADMCL
815	dienst Integrale Veiligheid	1309	2010-02-11 18:30:56	VAD	VADMCL
816	Preventiedienst	1311	2010-02-12 11:58:58	VAD	VADMCL
817	Medische dienst	1311	2010-02-12 11:59:08	VAD	VADMCL
818	Dienst Thuiszorg	1318	2010-02-15 14:30:41	ALT	ALTLDM
819	ouderenadviesraad	969	2010-02-19 12:56:42	KAS	KASJVV
820	Training department	1385	2010-02-19 14:21:32	VAD	VADMCL
821	Interne Dienst Preventie en Bescherming	1385	2010-02-19 14:21:45	VAD	VADMCL
822	Human Resources	1386	2010-02-19 15:45:28	VAD	VADMCL
823	Interne Dienst Preventie en Bescherming	1387	2010-02-19 16:32:43	VAD	VADMCL
824	Preventiedienst	1390	2010-02-19 17:44:34	VAD	VADMCL
825	Preventiedienst	1391	2010-02-19 17:47:39	VAD	VADMCL
826	LUCINA	1394	2010-02-19 18:25:48	VAD	VADMCL
